discourse_id,essay_id,discourse_text,discourse_type,discourse_effectiveness,2.1,1.1,4.2,2.1,1.1,4.2
0013cc385424,007ACE74B050,"Hi, i'm Isaac, i'm going to be writing about how this face on Mars is a natural landform or if there is life on Mars that made it. The story is about how NASA took a picture of Mars and a face was seen on the planet. NASA doesn't know if the landform was created by life on Mars, or if it is just a natural landform.",Lead,Adequate,,,,emerging,emerging,emerging
9704a709b505,007ACE74B050,"On my perspective, I think that the face is a natural landform because I dont think that there is any life on Mars. In these next few paragraphs, I'll be talking about how I think that is is a natural landform",Position,Adequate,,,,Null,Null,Null
c22adee811b6,007ACE74B050,I think that the face is a natural landform because there is no life on Mars that we have descovered yet,Claim,Adequate,,,,emerging,irrelevant,emerging
a10d361e54e4,007ACE74B050,"If life was on Mars, we would know by now. The reason why I think it is a natural landform because, nobody live on Mars in order to create the figure. It says in paragraph 9, ""It's not easy to target Cydonia,"" in which he is saying that its not easy to know if it is a natural landform at this point. In all that they're saying, its probably a natural landform.",Evidence,Adequate,,,,Null,Null,Null
db3e453ec4e2,007ACE74B050,People thought that the face was formed by alieans because they thought that there was life on Mars.,Counterclaim,Adequate,,,,Null,Null,Null
36a565e45db7,007ACE74B050,"though some say that life on Mars does exist, I think that there is no life on Mars.",Rebuttal,Ineffective,,,,Null,Null,Null
fb65fe816ba3,007ACE74B050,"It says in paragraph 7, on April 5, 1998, Mars Global Surveyor flew over Cydonia for the first time. Michael Malin took a picture of Mars with his Orbiter Camera, that the face was a natural landform.",Evidence,Adequate,,,,Null,Null,Null
4e472e2584fa,007ACE74B050,"Everyone who thought it was made by alieans even though it wasn't, was not satisfied. I think they were not satisfied because they have thought since 1976 that it was really formed by alieans.",Counterclaim,Adequate,,,,Null,Null,Null
28a94d3ee425,007ACE74B050,"Though people were not satified about how the landform was a natural landform, in all, we new that alieans did not form the face. I would like to know how the landform was formed. we know now that life on Mars doesn't exist.",Concluding Statement,Adequate,,,,Null,Null,Null
d226f06362f5,00944C693682,"Limiting the usage of cars has personal and professional support all across the globe and yet it has yet to be embraced everywhere. Statistical proof show where it may help and real life examples of some of the effects of reducing, or getting rid of altogether, cars in one's daily life. While ""recent studies suggest that Americans are buying fewer cars, driving less and getting fewer licenses as each year goes by"" (Source 4), is that really enough or for the right reason? There are plenty of reasons to stop, or limit, the amount of cars being driven on the roads for every kind of person, from the hippie to the businessman, from the mom to the college student.",Lead,Effective,,,,expanding,expanding,emerging
de347c859ab6,00944C693682,"With so many things in this world that few people agree on, this is a nice change to see in regards the removal of so many cars. Why would they all agree, one might ask. Well, there are plenty of reasons.",Position,Effective,,,,Null,Null,Null
cc921c5cfda4,00944C693682,stress.,Claim,Adequate,,,,irrelevant,irrelevant,irrelevant
a6fcdd9110ab,00944C693682,"It is no secret that morning traffic jams and 5'o'clock traffic is often enough to send any driver into a fit of unadulterated rage and what better way is there to prevent that than to simply not drive at all? Mother and media trainer, Heidrum Walter attested to this after moving into a mostly car-less community, claiming ""when [she] had a car [she] was always tense. [She's] much happier [that] way"" (Source 1). If that were not enough, businessman Carlos Arturo Plaza who participated in the Day Without Cars in Bogota, Colombia, after just a day was able to say ""it's a good oppurtunity to take away stress"" (Source 3). Just one day was enough to de-stress this man and if that does not speak wonders, one has to wonder what does. The event ""[left] the streets of [Bogota] eerily devoid of traffic jams"" (Source 3), which goes to show how stressful it was everyday, with traffic jams a common occurance. No one enjoys them, so why continue to suffer through them?",Evidence,Effective,,,,Null,Null,Null
6efd9102298b,00944C693682,the environment suffers greatly from the many car emissions let out on the roads.,Claim,Effective,,,,emerging,irrelevant,emerging
d6807f31da92,00944C693682,"""Passenger cars are responsible for 12 percent of greenhouse gas emissions in Europe ... and up to 50 percent in some car-intensive areas in the United States"" (Source 1). This alone should be enough to horrify anyone out of such copious amounts of car usage. If that were not enough, ""transportation is the second largest source of America's emissions"" (Source 4). It is clear that cars are only doing more harm to this earth all humans live on and happen to only have one of, so there is no need to continue on knowing this without changing something about that. Even car-pooling could significantly reduce emissions as there would be less cars out there, which is possible through ""more flexible commuting arrangements, including the evolution of shared van services for getting to work"" (Source 4).",Evidence,Effective,,,,Null,Null,Null
024f3edf0cdb,00944C693682,", adding the last two reasons together makes for another very important factor in all of this: everyone's general health. Both stress and high concentrations of smog can do a toll on one's body and the reduction of cars, once again, helps to reduce this terrible down-sides to the easy transportation option",Claim,Effective,,,,expanding,irrelevant,emerging
cf5dc6eb65e0,00944C693682,"If it must be described as ""emissions ... are choking cities"" (Source 1), then why not be a bit more concerned. Air pollution can affect those with pre-existing respitory issues and stress can be a deciding factor in how effient and well a person can function. Stress on the road can lead to unsafe driving and a worse performance at work, school, or any other task-oriented location that many go to with the aid of a car.",Evidence,Adequate,,,,Null,Null,Null
8df2da9994bf,00944C693682,It is also worth noting that cities that have embraced a no car lifestyle such as Vauban or Bogota have generally improved as a community and have given back anything the newly car-less citizens may have been missing out on through saving them time and money.,Claim,Effective,,,,expanding,irrelevant,emerging
033845420f01,00944C693682,"In Vauban, ""stores are placed a walk away, on a main street, rather than in malls along some distant highway"" (Source 1). This is not only much more cost-efficient, but also convienent. This is saving both time and money, just like in Bogota where ""parks and sports centers [] have bloomed throughout the city; uneven, pitted sidewalks have been replaced by broad, smooth sidewalks; rush-hour restrictions have dramatically cut traffic; and new restaurants and upscale shopping districts have cropped up"" (Source 3). Not only does this help individual citizens and business owners, it helps the overall economy of the city as well.",Evidence,Effective,,,,Null,Null,Null
9fd314f638e5,00944C693682,"Individual car use isn't bad. Millions of individuals using cars, however, is very bad. Note the emphasis. Even just making a concious effort to car pool, bike to work or school, use public transportation, or use some sort of alternative transportation could be enough to clear up the air of some of it's emissions, keep oneself and others happier and less stressed, save time and money, and improve their city all in one little decision. It's just a matter of going ahead and doing it, so what is stopping anyone from going out and making that change now? Be the change you want to see and limit your car usage now.",Concluding Statement,Effective,,,,Null,Null,Null
ed7e62a18bad,00BD97EA4041,Should computers read the emotional expressions of students in a classroom?,Lead,Adequate,,,,irrelevant,emerging,Irrelevant
c20937683442,00BD97EA4041,"No because, why should a computer know how your feeling?",Position,Adequate,,,,Null,Null,Null
4faec979a617,00BD97EA4041,It wouldn't change the emotion the students feeling. It also wouldn't help with the students education. Its over all just a waste of time.,Claim,Adequate,,,,emerging,irrelevant,emerging
a44371d6abc5,00BD97EA4041,"The process begins when the computer puts together a 3-D digital model. There are 44 major muscles in your face that the computer has to detect. Eckman classified six emotions happiness, surprise, anger, disgust, fear, and sadness. He then "" associated each with characteristic movements of facial muscles.""
 
 For example the frontalis pars lateralis muscle is above your eye which shows your surpried when it is raised.
 
 Us humans alone can identify facial expressions on peoples faces. If you look at a friend you can tell how they are feeling at that moment. Da Vinci studied human anatomy to help paint the facial muscles percisely on the Mona Lisa painting. Dr. Huangs has new computer software it stores similar info as electronic code. He thinks there could be a different type of code to the painting.",Evidence,Ineffective,,,,Null,Null,Null
e9257d57eae0,00BD97EA4041,When facial facial expressions a made its about muscular action units. The school computer shouldn't have to know how you are feeling. What kind of problem is that supposed to solve,Evidence,Adequate,,,,Null,Null,Null
4a1e697d6488,00BD97EA4041,This idea is nothing but just a distraction for school students. It also may detect wrong facial expressions.,Claim,Adequate,,,,emerging,irrelevant,emerging
af494e4e0b4f,00BD97EA4041,To conclusion computers in school shouldn't detect emotions of the students. I have proved my point on why it shouldn't be in school. I have given you several examples from the passage to prove this point. It shoudn't matter if the computer knows how your feeling.,Concluding Statement,Adequate,,,,Null,Null,Null
9d03e2bef0ff,00C6E82FE5BA,I think that it wouldn't be valueable to have technology be able to read emotions,Position,Adequate,,,,Null,Null,Null
cb1efb91bfe4,00C6E82FE5BA,the fact that its really easy for someone else to get into your phone or tablet through face reconition,Claim,Adequate,,,,emerging,irrelevant,emerging
095847b91399,00C6E82FE5BA,"People use face reconition alot and it can be a quicker way to get into your tablets and phones or any other electronics, but people can easily crack into the electronic and take any personal infomation that they need. I mean electonic ability to read people's emotions is cool and all, and its a huge next step into newer tecnology for the future, but the fact that you know say you needed to be happy to get into your phone, some one else can act happy and, well unlock your phone.",Evidence,Adequate,,,,Null,Null,Null
4e7b0234ed72,00C6E82FE5BA,"In paragraph six the article talks about how they could make different ads show if you were happy or frowning. That could be good but if your watching, like youtube or videos and an ad shows, your going to want to keep watching your video and not the ad. If a person is watching a show and an ad pops up and they smile, then it shows another ad that the person didnt want to see because they wanted to keep watching thier show. I think people would be angry if that happen, because not a lot of people like ads",Evidence,Adequate,,,,Null,Null,Null
235278a2c6d7,00C6E82FE5BA,"Ads can be good for promotion of products, but i think we all know when your playing a game on your electronic device that you want to keep playing or watching and not the ad.",Claim,Ineffective,,,,emerging,irrelevant,emerging
9c3b9503c9a4,00C6E82FE5BA,"The reasons why i said that this would be unvalueable is because the reason of security,like anything could go wrong because everything in technology can be unexpected. thats why i chose the reasons I did.",Concluding Statement,Adequate,,,,Null,Null,Null
ed3a833a2f49,013B9AA6B9DB,What is that thing on Mars?,Lead,Adequate,,,,irrelevant,emerging,irrelevant
c2203a58aa5c,013B9AA6B9DB,"Well, some people believe that it was something made by aliens. I am here to prove that it was not.",Position,Adequate,,,,Null,Null,Null
8.04E+11,013B9AA6B9DB,"The thing on Mars first was photographed in 1976. It is a huge rock formation that resembles a human face. There are shadows that give it the illusion that it has eyes, a nose, and a mouth.",Evidence,Adequate,,,,Null,Null,Null
9e0d25faca07,013B9AA6B9DB,Some believe that it is real evidence that there is life on Mars,Counterclaim,Adequate,,,,Null,Null,Null
7a01d9cb379a,013B9AA6B9DB,well it is not.,Rebuttal,Ineffective,,,,Null,Null,Null
a5e7a6893f7f,013B9AA6B9DB,"On April 5, 1998, the Mars Global Surveyor flew over the ""Face."" The new cameras snapped a photograph that was ten times sharper than the original one. The new image revealed that it was a natural landform.",Evidence,Adequate,,,,Null,Null,Null
0ac0ff39b989,013B9AA6B9DB,"Some skeptics said that maybe the alien markings were hidden by the clouds,",Counterclaim,Adequate,,,,Null,Null,Null
244544e584aa,013B9AA6B9DB,but in 2001 a newer image was taken,Rebuttal,Adequate,,,,Null,Null,Null
effe61fb5d6e,013B9AA6B9DB,"This image was captured on a cloudless day, so there was nothing obstructing the view. This image also shows",Evidence,Adequate,,,,Null,Null,Null
6f286d4b669a,013B9AA6B9DB,"that the presumed face was a landform, and not the ancient work of aliens.",Claim,Adequate,,,,emerging,irrelevant,emerging
b199e5df1815,013B9AA6B9DB,"So, in conclusion, the famous face on Mars was a natural landform. This is supported by the pictures taken in 1998 and 2001. The image captured in 2001 could also possibly see other objects if there were any. So, the face not a sign of life on Mars.",Concluding Statement,Adequate,,,,Null,Null,Null
55f4bc9b664b,0158970BC5D2,"Students around the world are forgetting more and more from their past school year, due to their long summer vacation. Because of this, many teachers are debating whether or not they should simply give students teacher-designed projects over the summer, or let the students design the projects themselves.",Lead,Adequate,,,,emerging,emerging,emerging
e713e8b20cf3,0158970BC5D2,summer projects should be teacher-designed,Position,Adequate,,,,Null,Null,Null
f1d3e589dbbe,0158970BC5D2,easy plagiarism,Claim,Effective,,,,irrelevant,irrelevant,irrelevant
b8922c113c05,0158970BC5D2,teachers' knowledge on how to deisgn and grade a project.,Claim,Effective,,,,irrelevant,irrelevant,irrelevant
96f2ff86c0f9,0158970BC5D2,"When i was in the 6th grade, for fun, our teacher assigned the class to design a volcano that had to shoot up as far as possible into the air, made with paper mache, glue, and other accessible materials. There wasn't much instruction on how to do the volcano, as long as we were the ones building it, and the idea/design was original. Most kids' volcanoes looked pretty amateur, with varying degrees of success. However, the kid whose volcano shot up the highest, was disqualified for copying his design and materials exactly from a project someone had shared on the internet.
 
 If a student can plagiarize someone's work from a project loosely designed by a teacher, then even more students can plagiarize a project that ""they themselves"" designed.",Evidence,Effective,,,,Null,Null,Null
d203548d9024,0158970BC5D2,"Often times throughout middle school, my teachers would give the students each other's assignments to grade themselves. And afterwards, we would see in the grade book that the grade changed because the students weren't grading the assignments the way they should have been. The student grading was meant to engage the classroom, but it turned into a showcase of how students dont really know how to grade the way teachers do. If students are unaware of how a project is supposed to be graded, they can not successfully design a project that tests whether or not they understand the material.",Evidence,Effective,,,,Null,Null,Null
e55c28aa864c,0158970BC5D2,"Some people may say, ""but allowing students to design their own projects will allow them to focus more on their work during the summer.""",Counterclaim,Effective,,,,Null,Null,Null
9eb4c757d0c3,0158970BC5D2,"Whenever I'm given a summer assignment, I know for a fact it I won't even look at the assignment until maybe about a few days before the first day of school. Which would lead to me rushing a lazily put together assignment and a not so good grade. Giving students the opportunity to design their own assignments will lead to students rushing their projects, and justifying it by claiming that the level of quality meets the standards of their assignment.",Rebuttal,Effective,,,,Null,Null,Null
